"","Model","n.wai.missing","n.wbc.missing","Strong1","Strong2","Strong3","Strong4","Strong5"
"138","LASSO",0,0,6.47375679072772,5.03296696660238,4.95100111116297,4.98192935723397,4.76388144175363
"139","Stepwise",0,0,6.48990310441426,5.08503318620962,5.00105277807068,4.9449996244322,5.25967831310078
"140","LASSO",0,0,6.67094190543181,4.9554542524191,4.85648774699461,4.89328909668317,5.11348635116074
"141","Stepwise",0,0,6.93547064511672,5.18241554999909,4.90127622252885,4.93406297821798,5.05956880175563
"142","LASSO",0,0,6.72848116543561,4.99159936483618,4.82703231464285,4.66671591064634,4.77808511064394
"143","Stepwise",0,0,5.69047170606375,4.70358321196917,4.89587401968098,5.30223345859998,4.92107345898625
"144","LASSO",0,0,6.26940740729364,4.37313504928227,4.5787197893058,5.12020650784213,4.52724161827847
"145","Stepwise",0,0,6.19663288851335,4.9193495302538,5.05681235760221,5.06075533154565,5.28416776465912
"146","LASSO",0,0,6.05449326851549,4.72907848088383,4.88526732879625,4.78530826006047,4.98563192469024
"147","Stepwise",0,0,6.89765166339853,5.21046755148248,5.09139223512632,4.87392646795297,5.06039680352308
"148","LASSO",0,0,6.54092939345959,5.10212932181009,4.97108518079956,4.92928847735817,4.90198438760802
"149","Stepwise",0,0,6.61650145651965,4.76702748457316,4.97421999833129,5.17864994490627,4.8688922711213
"150","LASSO",0,0,6.74106858297909,4.77727681472768,4.75874159555025,5.06032093871572,4.76728532666297
"151","Stepwise",0,0,6.67454387576615,5.00451155129776,4.8064246565762,4.85819054868047,4.69584238966688
"152","LASSO",0,0,6.39320914172333,4.8616667823528,4.50439308841874,4.54678532425259,4.40401764463894
"153","Stepwise",0,0,6.44380632058876,5.2239062587222,4.98225733738166,5.03082054548123,4.9819877999658
"154","LASSO",0,0,6.37187144759211,4.95477074130877,4.88507732242921,4.82441915812754,4.7435972407088
"155","Stepwise",0,0,5.66914704602102,4.98186853248749,5.04361201204798,5.20448623175886,5.1916679813021
"156","LASSO",0,0,6.31597913108298,4.80944161234872,4.78571053843999,4.91007725122252,5.04507568825792
"157","Stepwise",0,0,6.57370942837585,4.92304337920481,4.87641870098162,5.13064770052956,4.92770096994347
"158","LASSO",0,0,6.44679282576839,4.53778925061419,4.84913746097246,5.01056896762505,4.48432736171713
"159","Stepwise",0,0,6.68714334271729,5.04056819448151,5.04737141904254,5.16269945464334,5.10245697143151
"160","LASSO",0,0,6.55659010102557,4.8603593758539,4.84146260109134,5.04789798225431,4.62440436427449
"161","Stepwise",0,0,6.61752279304287,4.87979544492162,5.19003388318705,5.33053577797996,5.09583938231135
"162","LASSO",0,0,6.54473815082703,4.68467979705365,4.98133087877859,5.11063799993106,4.98574637325629
"163","Stepwise",0,0,6.78440046296151,5.1482073811957,4.82452153632292,4.89083202358048,4.90503400198401
"164","LASSO",0,0,6.67346091270991,4.98741948274554,4.58989310114706,4.73625062942521,4.65267978109492
"165","Stepwise",0,0,6.45780289979208,5.03081678652162,4.99293213353197,5.13691208081731,5.23154721352603
"166","LASSO",0,0,6.42756157029441,4.74131295549637,4.67435172797839,4.78945931633775,5.2416388514555
"167","Stepwise",0,0,6.79674327251005,5.12172640650772,4.91250817322141,4.71490387010397,5.02638750325219
